id	candidate	candidate_confidence	relevant_yn	relevant_yn_confidence	sentiment	sentiment_confidence	subject_matter	subject_matter_confidence	candidate_gold	name	relevant_yn_gold	retweet_count	sentiment_gold	subject_matter_gold	tweet_coord	tweet_created	tweet_id	tweet_location	user_timezone		text
1080	Rand Paul	1	yes	1	Neutral	0.6286	None of the above	0.6286		LindaC528		49				8/7/15 9:45	6.30E+17	S.W. Chicago suburbs	Central Time (US & Canada)		"RT @fakedansavage: Paul to Trump: ""The Republican party has been fighting against single-payer for a decade."" Um for 75 years, actually.…"
3577	Rand Paul	1	yes	1	Positive	1	None of the above	1		natashaabadilla		0				8/7/15 9:17	6.30E+17	Kenya			My takeaways from #GOPDebate highlights? (1) It was a cross b/w a circus &amp; a firing squad and (2) @RandPaul is kind of attractive! #amirite
7673	Ben Carson	0.4545	yes	0.6742	Negative	0.3483	None of the above	0.4545		ginsengity		0				8/7/15 8:01	6.30E+17	Michigan	Eastern Time (US & Canada)		hey look- the #KochBrothers R on the stage- standing between #BenCarson &amp; #Trump #GOPDebate
936	No candidate mentioned	1	yes	1	Negative	1	None of the above	1		biseattlegirl		0				8/7/15 9:46	6.30E+17	"Seattle, WA"			Tired of the shills in media for Hillary. Will henceforth be known to me as #shillary. #GOPDebate
7421	Mike Huckabee	0.4074	yes	0.6383	Negative	0.6383		0.2309		harmonygritz		0				8/7/15 8:05	6.30E+17		Pacific Time (US & Canada)		".@TPM Huckabee's right, which is why he can't be CinC. His site has MLK praying with Jefferson and Lincoln. No car keys for him! #GOPDebate"
12992	Jeb Bush	1	yes	1	Negative	0.6771	FOX News or Moderators	1		donnatobia		153				8/6/15 19:11	6.29E+17	"Franklin, TN"	Central Time (US & Canada)		RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates #GOPDebates
10947	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		trevinotakes10		132				8/6/15 19:46	6.29E+17		America/Chicago		RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate #GOPDebates 🇺🇸
13492	Donald Trump	1	yes	1	Positive	0.6939	FOX News or Moderators	1		michaelwalkerw1		66				8/6/15 19:03	6.29E+17				RT @RWSurferGirl: FOX News won't admit who the Republican leader is right now I mean @realDonaldTrump only has a double-digit lead 🇺🇸 #GOPD…
2078	No candidate mentioned	1	yes	1	Positive	0.6791	None of the above	1		Aubrey_Rex		0				8/7/15 9:34	6.30E+17		Pacific Time (US & Canada)		So glad people finally appreciate honesty. I've got all the honesty you can handle and the battle scars to prove it. #GOPDebate
1144	No candidate mentioned	0.3989	yes	0.6316	Neutral	0.3158	None of the above	0.3989		JonOldenburg		0				8/7/15 9:44	6.30E+17		Eastern Time (US & Canada)		"#GOPDebate One critique: Not a debate as much as a ""get to know your candidates."" One Q per all the big problems in the world. Dissatisfying"
7230	Donald Trump	1	yes	1	Negative	0.665	None of the above	0.6526		MarkTregonning		3				8/7/15 8:08	6.30E+17	Melbourne	Brisbane		"RT @Keening_Product: In a country of runaway #capitalism and money worship, #Trump's popularity is not surprising. #Lateline #GOPDebate #US…"
7337	Donald Trump	1	yes	1	Positive	0.3516	None of the above	1		omartin41		1				8/7/15 8:06	6.30E+17				RT @Sir_Max: bentonlee1: RT DrMartyFox: #Trump Wins Drudge Debate Poll ➡️ By A Landslide #TedCruz #2 #GOPDebate #PJNET🇺🇸… http://t.c…
749	Donald Trump	1	yes	1	Negative	1	None of the above	1		RTDNEWS		1				8/7/15 9:48	6.30E+17	"Richmond, VA"	Eastern Time (US & Canada)		"RT @MSchmidtRTD: Va. GOP leaders praise debate performances. Trump's, not so much. http://t.co/Ul5pgAq4UH #Election2016 #GOPDebate"
7561	No candidate mentioned	0.4253	yes	0.6522	Neutral	0.3587	Immigration	0.4253		EusebiaAq		0				8/7/15 8:03	6.30E+17	America	Eastern Time (US & Canada)		@civilrightsorg Who's the real illegal alien #GOPDebate - Farrakhan on Immigration &amp; the Mexican Bor https://t.co/lkLfFN2LFy via @YouTube
4210	Marco Rubio	1	yes	1	Negative	0.6703	None of the above	1		ElasticCassidy		0				8/7/15 9:09	6.30E+17	"Huntsville, AL"	Central Time (US & Canada)		"Marco Rubio's ears are so big his campaign slogan should be ""Marco Rubio definitely hears your concerns"" #GOPDebate"
12328	Donald Trump	1	yes	1	Negative	0.362	FOX News or Moderators	1		calplatinum		134				8/6/15 19:23	6.29E+17				RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
8881	Scott Walker	0.4025	yes	0.6344	Neutral	0.3441		0.2319		duxguitar		2				8/6/15 21:42	6.30E+17	"Hollyville, USA"	Central Time (US & Canada)		RT @erictheteamster: Walkers main talking point was that he took on 100s of 1000s of union protesters and won. Waiting to hear how that hel…
11023	Mike Huckabee	1	yes	1	Negative	0.6629	Foreign Policy	0.6742		kgthekidddd		66				8/6/15 19:44	6.29E+17	houstalantavegas 	Pacific Time (US & Canada)		"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
7122	No candidate mentioned	0.485	yes	0.6965	Negative	0.3495	None of the above	0.485		BBlueCrush		1				8/7/15 8:10	6.30E+17	TO	Central Time (US & Canada)		Some of the funniest reactions to #GOPdebate http://t.co/bhgMKw8qSc via @someecards
6388	No candidate mentioned	1	yes	1	Negative	0.6562	None of the above	0.6979		DivineMoments		1				8/7/15 8:20	6.30E+17	NJ	Eastern Time (US & Canada)		"Media, be it on the Left or Right, want to shape the news the way they see it.. Thank goodness most people can see through them. #GOPdebate"
5625	Chris Christie	1	yes	1	Negative	1	None of the above	1		edwindearborn		0				8/7/15 8:32	6.30E+17	Orange County CA 	Pacific Time (US & Canada)		Chris Christie is as relevant as a box of doughnuts at a Jenny Craig meeting. #GOPDebate #GOP #RandPaul
315	No candidate mentioned	1	yes	1	Positive	1	FOX News or Moderators	1		GallSueJoe		0				8/7/15 9:52	6.30E+17	Too Blue CT	Hawaii		"Huh. Watching @FoxNews debate #1 and so far, the moderators and the participants are better! #GOPDebate"
3129	No candidate mentioned	1	yes	1	Negative	0.6739	None of the above	0.6522		mrmilianspeaks		0				8/7/15 9:22	6.30E+17	Greenville			@audreycnn @MbasuCNN why didn't the #GOPDebate mention this
3932	No candidate mentioned	0.4916	yes	0.7011	Neutral	0.3678	None of the above	0.4916		razzendres		0				8/7/15 9:13	6.30E+17	APATRIA UTOPIA 666	Zagreb		Gay Hoover Claims Spark Outrage Among Ex-FBI Agents http://t.co/q4RPV2tBX6Nixon Johnson America NYT NYC #GOPDebate http://t.co/PVOPzKKT9m
2758	Ted Cruz	1	yes	1	Neutral	1	Foreign Policy	1		eyslas5		4				8/7/15 9:27	6.30E+17				"RT @IraqiSuryani1: According to Ted Cruz, here are the top 4 threats against America.1 ISIS2 Iran3 China4 Russia#GOPDebate"
2192	Donald Trump	0.3974	yes	0.6304	Negative	0.6304	None of the above	0.3974		mayamadolyn		0				8/7/15 9:33	6.30E+17	"Windsor, Ontario"	Eastern Time (US & Canada)		I AM DEAD -- #GOPDebate Trump at the Roxbury https://t.co/q1y4SYaB9B
11016	Mike Huckabee	1	yes	1	Negative	0.6596	None of the above	0.3511		M_I_C__		66				8/6/15 19:44	6.29E+17		Eastern Time (US & Canada)		"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
6757	No candidate mentioned	1	yes	1	Negative	1	FOX News or Moderators	1		RussOnPolitics		1				8/7/15 8:15	6.30E+17	"New York, NY"	Eastern Time (US & Canada)		The Fox News #GOPDebate moderators ran the show last night exactly the way RNC Chairman @Reince instructed. http://t.co/Ie55TXbvnP
