screen_name	text	datetime	source	lang
HillaryClinton	"Thanks for following our incredible day in Iowa stay tuned to hear @katyperry, @billclinton, and Hillary! #HillYes https://t.co/f24SyhXI9Z"	10/24/15 23:02	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	La idea de que los Estados Unidos va a deportar 11 millones de personas es absurdatotalmente absurda.	9/17/15 3:11	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	es
HillaryClinton	We should put in place an accessible way for parents of DREAMers &amp; others to be eligible for the same deferred action as their children.	5/6/15 0:51	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	en
HillaryClinton	HAPPENING NOW: Hillary has a vision for an economy in which working families get ahead and stay ahead. Watch live: http://t.co/wktEySP99O	7/13/15 16:05	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	en
HillaryClinton	"RT @GabbyGiffords: Voters deserve to know how candidates will reduce gun violence. Thanks for sharing your plan, @HillaryClinton. http://t."	10/5/15 23:58	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	en
HillaryClinton	"RT @HillaryforNV: WATCH: Why Cheska, a DREAMer in Nevada, is fighting to make sure Hillary is our next president. #Hillary2016 https://t.co"	12/10/15 4:05	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	"""A woman should have her own bill.""Hillary https://t.co/XKUHhLEuzX"	7/8/15 2:23	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	"RT @NickMerrill: Backstage @colbertlateshow, @HillaryClinton &amp; @Bourdain talk travel &amp; cheese. cc: @SaakashviliM https://t.co/erjhHnpluE"	10/28/15 15:15	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	en
HillaryClinton	"In 1976, @BarbaraJWalters became the first woman co-anchor on a major network. https://t.co/w6F7J3FZYs"	11/4/15 21:41	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	RT @ADobranic: We're out at Spring Fling in Spartanburg signing up supporters! @HillaryforSC #Hillary2016 http://t.co/Z4QgKMPNGz	5/2/15 19:46	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	en
HillaryClinton	"RT @kgrohh: ""Daddy, who's that woman?"" ""Maddy, that's the next president of America, @HillaryClinton "" #HillaryInNH  http://t.co/h9kIjPBS"	5/22/15 23:40	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	en
HillaryClinton	"I'll never forget watching Ernie Banks play- broke barriers, loved baseball &amp; life. We'll miss Mr. Cub. #LetsPlayTwo http://t.co/MKeOeVEYEa"	1/24/15 19:44	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	en
HillaryClinton	The US women's soccer team faces unequal treatment in playing surfaces and pay but they're not alone. https://t.co/fk6M9QSgLT	12/8/15 1:44	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	Humorous! https://t.co/3zbyqTIn0O	10/27/15 20:34	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	#FF @HillaryforSC for tonight's Democratic candidate forum with @maddow. Great weekend ahead in the Palmetto State! <U+0001F334>#HRCinSC	11/6/15 23:47	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	#GirlsCHARGE commits to help 15 million girls get access to secondary school. #NoCeilings #CGI2014 #SmartThingToDo http://t.co/fPAqMyeb2G	9/25/14 1:21	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	en
HillaryClinton	Hillary in New York yesterday: http://t.co/YeVehwpWlQ	7/15/15 5:05	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	We need to rein in risky behavior on Wall Street. Hillary's plan: https://t.co/eYdefYHM9a #GOPdebate https://t.co/TOwkGleBJv	10/29/15 2:04	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	Rolling back rules for Wall Street wont help families get ahead.	8/8/15 23:19	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	en
HillaryClinton	"RT @TheBriefing2016: You bet. https://t.co/B4fwAARMm6"	9/17/15 1:53	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
HillaryClinton	Hillary is proud to #StandWithPP. RT if you are too. http://t.co/F5Wq1C054S	8/7/15 3:19	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	en
HillaryClinton	These are going FASTwe've already had to order more! Get in on the second batch: http://t.co/OKehfqkW1z http://t.co/Wu4LgTc7Mv	5/27/15 2:55	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	en
